Date,GOOG_Adjusted_Close,GOOG_Cumulative_Return,GOOG_Value,CELG_Adjusted_Close,CELG_Cumulative_Return,CELG_Value,NVDA_Adjusted_Close,NVDA_Cumulative_Return,NVDA_Value,FB_Adjusted_Close,FB_Cumulative_Return,FB_Value,SPY_Adjusted_Close,SPY_Cumulative_Return,SPY_Value,Portfolio_Cumulative_Return,Portfolio_Value
2017-06-23,965.59,1.24293958,0.00000,134.31,1.29106988,2.35943,153.83,2.28437794,1.04368,155.07,1.20452074,0.00000,243.13,1.12674950,1.12675,1.24293958,1.24293958
2017-06-26,952.27,1.22579363,0.00000,133.85,1.28664816,2.32567,152.15,2.25942979,1.02100,153.59,1.19302462,0.00000,243.29,1.12749094,1.12749,1.22579363,1.22579363
2017-06-27,927.33,1.19369003,0.00000,130.85,1.25781032,2.19032,146.58,2.17671532,0.94762,150.58,1.16964421,0.00000,241.33,1.11840765,1.11841,1.19369003,1.19369003
2017-06-28,940.49,1.21062998,0.00000,134.23,1.29030085,2.32614,151.75,2.25348988,1.01564,153.24,1.19030604,0.00000,243.49,1.12841786,1.12842,1.21062998,1.21062998
2017-06-29,917.79,1.18140977,0.00000,131.70,1.26598095,2.20605,146.68,2.17820019,0.94891,151.04,1.17321724,0.00000,241.35,1.11850036,1.11850,1.18140977,1.18140977
2017-06-30,908.73,1.16974744,0.00000,129.87,1.24838986,2.14395,144.56,2.14671823,0.92168,150.98,1.17275120,0.00000,241.80,1.12058580,1.12059,1.16974744,1.16974744
2017-07-03,898.70,1.15683653,0.00000,130.18,1.25136974,2.07132,139.33,2.06905271,0.85620,148.43,1.15294381,0.00000,242.21,1.12248590,1.12249,1.15683653,1.15683653
2017-07-05,911.71,1.17358345,0.00000,133.20,1.28039987,2.17596,143.05,2.12429479,0.90253,150.34,1.16777994,0.00000,242.77,1.12508113,1.12508,1.17358345,1.17358345
2017-07-06,906.69,1.16712151,0.00000,131.95,1.26838411,2.16202,143.48,2.13068018,0.90796,148.82,1.15597329,0.00000,240.55,1.11479287,1.11479,1.16712151,1.16712151
2017-07-07,918.59,1.18243962,0.00000,132.56,1.27424780,2.22166,146.76,2.17938822,0.94995,151.44,1.17632434,0.00000,242.11,1.12202244,1.12202,1.18243962,1.18243962
2017-07-10,928.80,1.19558222,0.00000,131.93,1.26819181,2.31566,153.70,2.28244736,1.04191,153.50,1.19232557,0.00000,242.37,1.12322734,1.12323,1.19558222,1.19558222
2017-07-11,930.09,1.19724280,0.00000,132.25,1.27126792,2.35421,155.88,2.31482051,1.07168,155.27,1.20607424,0.00000,242.19,1.12239320,1.12239,1.19724280,1.19724280
2017-07-12,943.83,1.21492938,0.00000,133.56,1.28386042,2.47865,162.51,2.41327596,1.16478,158.90,1.23427052,0.00000,244.01,1.13082768,1.13083,1.21492938,1.21492938
2017-07-13,947.16,1.21921581,0.00000,134.47,1.29260793,2.46667,160.63,2.38535809,1.13799,159.26,1.23706686,0.00000,244.42,1.13272778,1.13273,1.21921581,1.21921581
2017-07-14,955.99,1.23058210,0.00000,134.57,1.29356925,2.53489,164.95,2.44951004,1.20002,159.97,1.24258190,0.00000,245.56,1.13801093,1.13801,1.23058210,1.23058210
2017-07-17,953.42,1.22727390,0.00000,134.87,1.29645291,2.52976,164.25,2.43911507,1.18986,159.73,1.24071764,0.00000,245.53,1.13787191,1.13787,1.22727390,1.22727390
2017-07-18,965.40,1.24269501,0.00000,134.27,1.29068544,2.54472,165.96,2.46450870,1.21476,162.86,1.26503024,0.00000,245.66,1.13847440,1.13847,1.24269501,1.24269501
2017-07-19,970.89,1.24976190,0.00000,135.00,1.29770260,2.54530,165.10,2.45173768,1.20220,164.14,1.27497275,0.00000,246.99,1.14463809,1.14464,1.24976190,1.24976190
2017-07-20,968.15,1.24623490,0.00000,136.31,1.31029510,2.60736,167.50,2.48737762,1.23741,164.53,1.27800211,0.00000,247.10,1.14514787,1.14515,1.24623490,1.24623490
2017-07-21,972.92,1.25237495,0.00000,137.74,1.32404121,2.64415,168.10,2.49628772,1.24629,164.43,1.27722530,0.00000,246.88,1.14412831,1.14413,1.25237495,1.25237495
2017-07-24,980.34,1.26192627,0.00000,137.84,1.32500238,2.61537,166.15,2.46733001,1.21754,166.00,1.28942048,0.00000,246.82,1.14385026,1.14385,1.26192627,1.26192627
